Account,Region,date_header,2010-09-08
 Gold certificate account,,2010-09-15,11037
 Gold certificate account, Boston,2010-09-15,369
 Gold certificate account, New York,2010-09-15,4038
 Gold certificate account, Philadelphia,2010-09-15,404
 Gold certificate account, Cleveland,2010-09-15,463
 Gold certificate account, Richmond,2010-09-15,846
 Gold certificate account, Atlanta,2010-09-15,1385
 Gold certificate account, Chicago,2010-09-15,887
 Gold certificate account, St. Louis,2010-09-15,324
 Gold certificate account, Minneapolis,2010-09-15,203
 Gold certificate account, Kansas City,2010-09-15,296
 Gold certificate account, Dallas,2010-09-15,652
 Gold certificate account, San Francisco,2010-09-15,1170
 Special drawing rights certificate account,,2010-09-15,5200
 Special drawing rights certificate account, Boston,2010-09-15,196
 Special drawing rights certificate account, New York,2010-09-15,1818
 Special drawing rights certificate account, Philadelphia,2010-09-15,210
 Special drawing rights certificate account, Cleveland,2010-09-15,237
 Special drawing rights certificate account, Richmond,2010-09-15,412
 Special drawing rights certificate account, Atlanta,2010-09-15,654
 Special drawing rights certificate account, Chicago,2010-09-15,424
 Special drawing rights certificate account, St. Louis,2010-09-15,150
 Special drawing rights certificate account, Minneapolis,2010-09-15,90
 Special drawing rights certificate account, Kansas City,2010-09-15,153
 Special drawing rights certificate account, Dallas,2010-09-15,282
 Special drawing rights certificate account, San Francisco,2010-09-15,574
 Coin,,2010-09-15,2086
 Coin,Boston,2010-09-15,62
 Coin, New York,2010-09-15,68
 Coin, Philadelphia,2010-09-15,167
 Coin, Cleveland,2010-09-15,152
 Coin, Richmond,2010-09-15,308
 Coin, Atlanta,2010-09-15,203
 Coin, Chicago,2010-09-15,321
 Coin, St. Louis,2010-09-15,29
 Coin, Minneapolis,2010-09-15,59
 Coin, Kansas City,2010-09-15,149
 Coin, Dallas,2010-09-15,218
 Coin, San Francisco,2010-09-15,348
" Securities, repo, term auction credit and other",,2010-09-15,2093996
" Securities, repo, term auction credit and other", Boston,2010-09-15,51661
" Securities, repo, term auction credit and other", New York,2010-09-15,885493
" Securities, repo, term auction credit and other", Philadelphia,2010-09-15,47674
" Securities, repo, term auction credit and other", Cleveland,2010-09-15,69358
" Securities, repo, term auction credit and other", Richmond,2010-09-15,232493
" Securities, repo, term auction credit and other", Atlanta,2010-09-15,193183
" Securities, repo, term auction credit and other", Chicago,2010-09-15,153910
" Securities, repo, term auction credit and other", St. Louis,2010-09-15,52611
" Securities, repo, term auction credit and other", Minneapolis,2010-09-15,27974
" Securities, repo, term auction credit and other", Kansas City,2010-09-15,70035
" Securities, repo, term auction credit and other", Dallas,2010-09-15,85731
" Securities, repo, term auction credit and other", San Francisco,2010-09-15,223873
 Securities held outright,,2010-09-15,2041399
 Securities held outright, Boston,2010-09-15,51661
 Securities held outright, New York,2010-09-15,832999
 Securities held outright, Philadelphia,2010-09-15,47673
 Securities held outright, Cleveland,2010-09-15,69358
 Securities held outright, Richmond,2010-09-15,232493
 Securities held outright, Atlanta,2010-09-15,193173
 Securities held outright, Chicago,2010-09-15,153894
 Securities held outright, St. Louis,2010-09-15,52583
 Securities held outright, Minneapolis,2010-09-15,27946
 Securities held outright, Kansas City,2010-09-15,70028
 Securities held outright, Dallas,2010-09-15,85719
 Securities held outright, San Francisco,2010-09-15,223872
 BitBucket1,,2010-09-15,794646
 BitBucket1, Boston,2010-09-15,20110
 BitBucket1, New York,2010-09-15,324258
 BitBucket1, Philadelphia,2010-09-15,18557
 BitBucket1, Cleveland,2010-09-15,26999
 BitBucket1, Richmond,2010-09-15,90502
 BitBucket1, Atlanta,2010-09-15,75195
 BitBucket1, Chicago,2010-09-15,59905
 BitBucket1, St. Louis,2010-09-15,20469
 BitBucket1, Minneapolis,2010-09-15,10879
 BitBucket1, Kansas City,2010-09-15,27260
 BitBucket1, Dallas,2010-09-15,33368
 BitBucket1, San Francisco,2010-09-15,87146
 Bills,,2010-09-15,18423
 Bills,Boston,2010-09-15,466
 Bills, New York,2010-09-15,7517
 Bills, Philadelphia,2010-09-15,430
 Bills, Cleveland,2010-09-15,626
 Bills, Richmond,2010-09-15,2098
 Bills, Atlanta,2010-09-15,1743
 Bills, Chicago,2010-09-15,1389
 Bills, St. Louis,2010-09-15,475
 Bills, Minneapolis,2010-09-15,252
 Bills, Kansas City,2010-09-15,632
 Bills, Dallas,2010-09-15,774
 Bills, San Francisco,2010-09-15,2020
 Notes and bonds,,2010-09-15,776223
 Notes and bonds, Boston,2010-09-15,19644
 Notes and bonds, New York,2010-09-15,316740
 Notes and bonds, Philadelphia,2010-09-15,18127
 Notes and bonds, Cleveland,2010-09-15,26373
 Notes and bonds, Richmond,2010-09-15,88403
 Notes and bonds, Atlanta,2010-09-15,73452
 Notes and bonds, Chicago,2010-09-15,58517
 Notes and bonds, St. Louis,2010-09-15,19994
 Notes and bonds, Minneapolis,2010-09-15,10626
 Notes and bonds, Kansas City,2010-09-15,26628
 Notes and bonds, Dallas,2010-09-15,32594
 Notes and bonds, San Francisco,2010-09-15,85125
 Federal agency debt securities,,2010-09-15,154519
 Federal agency debt securities, Boston,2010-09-15,3910
 Federal agency debt securities, New York,2010-09-15,63052
 Federal agency debt securities, Philadelphia,2010-09-15,3608
 Federal agency debt securities, Cleveland,2010-09-15,5250
 Federal agency debt securities, Richmond,2010-09-15,17598
 Federal agency debt securities, Atlanta,2010-09-15,14622
 Federal agency debt securities, Chicago,2010-09-15,11649
 Federal agency debt securities, St. Louis,2010-09-15,3980
 Federal agency debt securities, Minneapolis,2010-09-15,2115
 Federal agency debt securities, Kansas City,2010-09-15,5301
 Federal agency debt securities, Dallas,2010-09-15,6488
 Federal agency debt securities, San Francisco,2010-09-15,16946
 Mortgage-backed securities,,2010-09-15,1092234
 Mortgage-backed securities, Boston,2010-09-15,27641
 Mortgage-backed securities, New York,2010-09-15,445689
 Mortgage-backed securities, Philadelphia,2010-09-15,25507
 Mortgage-backed securities, Cleveland,2010-09-15,37109
 Mortgage-backed securities, Richmond,2010-09-15,124394
 Mortgage-backed securities, Atlanta,2010-09-15,103355
 Mortgage-backed securities, Chicago,2010-09-15,82339
 Mortgage-backed securities, St. Louis,2010-09-15,28134
 Mortgage-backed securities, Minneapolis,2010-09-15,14952
 Mortgage-backed securities, Kansas City,2010-09-15,37468
 Mortgage-backed securities, Dallas,2010-09-15,45863
 Mortgage-backed securities, San Francisco,2010-09-15,119781
 Repurchase agreements,,2010-09-15,0
 Repurchase agreements, Boston,2010-09-15,0
 Repurchase agreements, New York,2010-09-15,0
 Repurchase agreements, Philadelphia,2010-09-15,0
 Repurchase agreements, Cleveland,2010-09-15,0
 Repurchase agreements, Richmond,2010-09-15,0
 Repurchase agreements, Atlanta,2010-09-15,0
 Repurchase agreements, Chicago,2010-09-15,0
 Repurchase agreements, St. Louis,2010-09-15,0
 Repurchase agreements, Minneapolis,2010-09-15,0
 Repurchase agreements, Kansas City,2010-09-15,0
 Repurchase agreements, Dallas,2010-09-15,0
 Repurchase agreements, San Francisco,2010-09-15,0
 Term auction credit,,2010-09-15,0
 Term auction credit, Boston,2010-09-15,0
 Term auction credit, New York,2010-09-15,0
 Term auction credit, Philadelphia,2010-09-15,0
 Term auction credit, Cleveland,2010-09-15,0
 Term auction credit, Richmond,2010-09-15,0
 Term auction credit, Atlanta,2010-09-15,0
 Term auction credit, Chicago,2010-09-15,0
 Term auction credit, St. Louis,2010-09-15,0
 Term auction credit, Minneapolis,2010-09-15,0
 Term auction credit, Kansas City,2010-09-15,0
 Term auction credit, Dallas,2010-09-15,0
 Term auction credit, San Francisco,2010-09-15,0
 Other loans,,2010-09-15,52598
 Other loans, Boston,2010-09-15,0
 Other loans, New York,2010-09-15,52495
 Other loans, Philadelphia,2010-09-15,2
 Other loans, Cleveland,2010-09-15,0
 Other loans, Richmond,2010-09-15,0
 Other loans, Atlanta,2010-09-15,10
 Other loans, Chicago,2010-09-15,17
 Other loans, St. Louis,2010-09-15,28
 Other loans, Minneapolis,2010-09-15,27
 Other loans, Kansas City,2010-09-15,7
 Other loans, Dallas,2010-09-15,12
 Other loans, San Francisco,2010-09-15,1
 Net portfolio holdings of Commercial Paper Funding Facility LLC,,2010-09-15,0
 Net portfolio holdings of Commercial Paper Funding Facility LLC, Boston,2010-09-15,0
 Net portfolio holdings of Commercial Paper Funding Facility LLC, New York,2010-09-15,0
 Net portfolio holdings of Commercial Paper Funding Facility LLC, Philadelphia,2010-09-15,0
 Net portfolio holdings of Commercial Paper Funding Facility LLC, Cleveland,2010-09-15,0
 Net portfolio holdings of Commercial Paper Funding Facility LLC, Richmond,2010-09-15,0
 Net portfolio holdings of Commercial Paper Funding Facility LLC, Atlanta,2010-09-15,0
 Net portfolio holdings of Commercial Paper Funding Facility LLC, Chicago,2010-09-15,0
 Net portfolio holdings of Commercial Paper Funding Facility LLC, St. Louis,2010-09-15,0
 Net portfolio holdings of Commercial Paper Funding Facility LLC, Minneapolis,2010-09-15,0
 Net portfolio holdings of Commercial Paper Funding Facility LLC, Kansas City,2010-09-15,0
 Net portfolio holdings of Commercial Paper Funding Facility LLC, Dallas,2010-09-15,0
 Net portfolio holdings of Commercial Paper Funding Facility LLC, San Francisco,2010-09-15,0
 Net portfolio holdings of Maiden Lane LLC,,2010-09-15,28438
 Net portfolio holdings of Maiden Lane LLC, Boston,2010-09-15,0
 Net portfolio holdings of Maiden Lane LLC, New York,2010-09-15,28438
 Net portfolio holdings of Maiden Lane LLC, Philadelphia,2010-09-15,0
 Net portfolio holdings of Maiden Lane LLC, Cleveland,2010-09-15,0
 Net portfolio holdings of Maiden Lane LLC, Richmond,2010-09-15,0
 Net portfolio holdings of Maiden Lane LLC, Atlanta,2010-09-15,0
 Net portfolio holdings of Maiden Lane LLC, Chicago,2010-09-15,0
 Net portfolio holdings of Maiden Lane LLC, St. Louis,2010-09-15,0
 Net portfolio holdings of Maiden Lane LLC, Minneapolis,2010-09-15,0
 Net portfolio holdings of Maiden Lane LLC, Kansas City,2010-09-15,0
 Net portfolio holdings of Maiden Lane LLC, Dallas,2010-09-15,0
 Net portfolio holdings of Maiden Lane LLC, San Francisco,2010-09-15,0
 Net portfolio holdings of Maiden Lane II LLC,,2010-09-15,15820
 Net portfolio holdings of Maiden Lane II LLC, Boston,2010-09-15,0
 Net portfolio holdings of Maiden Lane II LLC, New York,2010-09-15,15820
 Net portfolio holdings of Maiden Lane II LLC, Philadelphia,2010-09-15,0
 Net portfolio holdings of Maiden Lane II LLC, Cleveland,2010-09-15,0
 Net portfolio holdings of Maiden Lane II LLC, Richmond,2010-09-15,0
 Net portfolio holdings of Maiden Lane II LLC, Atlanta,2010-09-15,0
 Net portfolio holdings of Maiden Lane II LLC, Chicago,2010-09-15,0
 Net portfolio holdings of Maiden Lane II LLC, St. Louis,2010-09-15,0
 Net portfolio holdings of Maiden Lane II LLC, Minneapolis,2010-09-15,0
 Net portfolio holdings of Maiden Lane II LLC, Kansas City,2010-09-15,0
 Net portfolio holdings of Maiden Lane II LLC, Dallas,2010-09-15,0
 Net portfolio holdings of Maiden Lane II LLC, San Francisco,2010-09-15,0
 Net portfolio holdings of Maiden Lane III LLC,,2010-09-15,23021
 Net portfolio holdings of Maiden Lane III LLC, Boston,2010-09-15,0
 Net portfolio holdings of Maiden Lane III LLC, New York,2010-09-15,23021
 Net portfolio holdings of Maiden Lane III LLC, Philadelphia,2010-09-15,0
 Net portfolio holdings of Maiden Lane III LLC, Cleveland,2010-09-15,0
 Net portfolio holdings of Maiden Lane III LLC, Richmond,2010-09-15,0
 Net portfolio holdings of Maiden Lane III LLC, Atlanta,2010-09-15,0
 Net portfolio holdings of Maiden Lane III LLC, Chicago,2010-09-15,0
 Net portfolio holdings of Maiden Lane III LLC, St. Louis,2010-09-15,0
 Net portfolio holdings of Maiden Lane III LLC, Minneapolis,2010-09-15,0
 Net portfolio holdings of Maiden Lane III LLC, Kansas City,2010-09-15,0
 Net portfolio holdings of Maiden Lane III LLC, Dallas,2010-09-15,0
 Net portfolio holdings of Maiden Lane III LLC, San Francisco,2010-09-15,0
 Net portfolio holdings of TALF LLC,,2010-09-15,575
 Net portfolio holdings of TALF LLC, Boston,2010-09-15,0
 Net portfolio holdings of TALF LLC,  New York,2010-09-15,575
 Net portfolio holdings of TALF LLC, Philadelphia,2010-09-15,0
 Net portfolio holdings of TALF LLC, Cleveland,2010-09-15,0
 Net portfolio holdings of TALF LLC, Richmond,2010-09-15,0
 Net portfolio holdings of TALF LLC, Atlanta,2010-09-15,0
 Net portfolio holdings of TALF LLC, Chicago,2010-09-15,0
 Net portfolio holdings of TALF LLC, St. Louis,2010-09-15,0
 Net portfolio holdings of TALF LLC, Minneapolis,2010-09-15,0
 Net portfolio holdings of TALF LLC, Kansas City,2010-09-15,0
 Net portfolio holdings of TALF LLC, Dallas,2010-09-15,0
 Net portfolio holdings of TALF LLC, San Francisco,2010-09-15,0
 Preferred interests in AIA Aurora LLC and ALICO Holdings LLC,,2010-09-15,25733
 Preferred interests in AIA Aurora LLC and ALICO Holdings LLC, Boston,2010-09-15,0
 Preferred interests in AIA Aurora LLC and ALICO Holdings LLC, New York,2010-09-15,25733
 Preferred interests in AIA Aurora LLC and ALICO Holdings LLC, Philadelphia,2010-09-15,0
 Preferred interests in AIA Aurora LLC and ALICO Holdings LLC, Cleveland,2010-09-15,0
 Preferred interests in AIA Aurora LLC and ALICO Holdings LLC, Richmond,2010-09-15,0
 Preferred interests in AIA Aurora LLC and ALICO Holdings LLC, Atlanta,2010-09-15,0
 Preferred interests in AIA Aurora LLC and ALICO Holdings LLC, Chicago,2010-09-15,0
 Preferred interests in AIA Aurora LLC and ALICO Holdings LLC, St. Louis,2010-09-15,0
 Preferred interests in AIA Aurora LLC and ALICO Holdings LLC, Minneapolis,2010-09-15,0
 Preferred interests in AIA Aurora LLC and ALICO Holdings LLC, Kansas City,2010-09-15,0
 Preferred interests in AIA Aurora LLC and ALICO Holdings LLC, Dallas,2010-09-15,0
 Preferred interests in AIA Aurora LLC and ALICO Holdings LLC, San Francisco,2010-09-15,0
 Items in process of collection,,2010-09-15,394
 Items in process of collection, Boston,2010-09-15,17
 Items in process of collection, New York,2010-09-15,1
 Items in process of collection, Philadelphia,2010-09-15,24
 Items in process of collection, Cleveland,2010-09-15,116
 Items in process of collection, Richmond,2010-09-15,8
 Items in process of collection, Atlanta,2010-09-15,50
 Items in process of collection, Chicago,2010-09-15,36
 Items in process of collection, St. Louis,2010-09-15,21
 Items in process of collection, Minneapolis,2010-09-15,14
 Items in process of collection, Kansas City,2010-09-15,44
 Items in process of collection, Dallas,2010-09-15,32
 Items in process of collection, San Francisco,2010-09-15,31
 Bank premises,,2010-09-15,2226
 Bank premises, Boston,2010-09-15,125
 Bank premises, New York,2010-09-15,256
 Bank premises, Philadelphia,2010-09-15,69
 Bank premises, Cleveland,2010-09-15,142
 Bank premises, Richmond,2010-09-15,238
 Bank premises, Atlanta,2010-09-15,218
 Bank premises, Chicago,2010-09-15,210
 Bank premises, St. Louis,2010-09-15,135
 Bank premises, Minneapolis,2010-09-15,108
 Bank premises, Kansas City,2010-09-15,265
 Bank premises, Dallas,2010-09-15,247
 Bank premises, San Francisco,2010-09-15,212
 Central bank liquidity swaps,,2010-09-15,61
 Central bank liquidity swaps, Boston,2010-09-15,2
 Central bank liquidity swaps, New York,2010-09-15,18
 Central bank liquidity swaps, Philadelphia,2010-09-15,7
 Central bank liquidity swaps, Cleveland,2010-09-15,5
 Central bank liquidity swaps, Richmond,2010-09-15,17
 Central bank liquidity swaps, Atlanta,2010-09-15,4
 Central bank liquidity swaps, Chicago,2010-09-15,1
 Central bank liquidity swaps, St. Louis,2010-09-15,1
